2026-06-15 16:45:21,034 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153394840.pdf
2026-06-15 16:45:22,344 | INFO | 搬檔成功
2026-06-15 16:45:22,495 | INFO | Excel寫入成功
2026-06-15 16:45:22,495 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153394841.pdf
2026-06-15 16:45:22,654 | INFO | 搬檔成功
2026-06-15 16:45:22,763 | INFO | Excel寫入成功
2026-06-15 16:45:22,763 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153734275.pdf
2026-06-15 16:45:22,892 | INFO | 搬檔成功
2026-06-15 16:45:22,892 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\15062026160222-ApeosPort-VII C3373(567193)-7270-260615160226.pdf
2026-06-15 16:45:31,699 | INFO | 搬檔成功
2026-06-15 16:45:31,841 | INFO | Excel寫入成功
2026-06-15 16:45:31,841 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\15062026160236-ApeosPort-VII C3373(567193)-7271-260615160240.pdf
2026-06-15 16:45:34,755 | INFO | 搬檔成功
2026-06-15 16:45:34,755 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\15062026160247-ApeosPort-VII C3373(567193)-7272-260615160252.pdf
2026-06-15 16:45:38,032 | INFO | 搬檔成功
2026-06-15 16:45:38,485 | INFO | Excel寫入成功
2026-06-15 16:45:38,485 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\15062026160304-ApeosPort-VII C3373(567193)-7273-260615160309.pdf
2026-06-15 16:45:43,731 | INFO | 搬檔成功
2026-06-15 16:45:44,130 | INFO | Excel寫入成功
2026-06-15 16:45:44,130 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\15062026160311-ApeosPort-VII C3373(567193)-7274-260615160315.pdf
2026-06-15 16:45:47,606 | INFO | 搬檔成功
2026-06-15 16:45:48,056 | INFO | Excel寫入成功
2026-06-15 16:45:48,056 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\15062026160323-ApeosPort-VII C3373(567193)-7275-260615160327.pdf
2026-06-15 16:45:51,110 | INFO | 搬檔成功
2026-06-15 16:45:51,514 | INFO | Excel寫入成功
2026-06-15 16:45:51,514 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\15062026160338-ApeosPort-VII C3373(567193)-7276-260615160342.pdf
2026-06-15 16:45:55,211 | INFO | 搬檔成功
2026-06-15 16:45:55,628 | INFO | Excel寫入成功
2026-06-15 16:45:55,628 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\15062026160353-ApeosPort-VII C3373(567193)-7277-260615160358.pdf
2026-06-15 16:45:58,464 | INFO | 搬檔成功
2026-06-15 16:45:58,612 | INFO | Excel寫入成功
2026-06-16 11:51:35,533 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660890.pdf
2026-06-16 11:51:36,841 | INFO | 搬檔成功
2026-06-16 11:51:37,151 | INFO | Excel寫入成功
2026-06-16 11:51:37,151 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153760626.pdf
2026-06-16 11:51:37,264 | INFO | 搬檔成功
2026-06-16 11:51:37,876 | INFO | Excel寫入成功
2026-06-16 11:51:37,876 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153760634.pdf
2026-06-16 11:51:37,995 | INFO | 搬檔成功
2026-06-16 11:51:38,545 | INFO | Excel寫入成功
2026-06-16 11:51:38,545 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153760635.pdf
2026-06-16 11:51:38,648 | INFO | 搬檔成功
2026-06-16 11:51:39,117 | INFO | Excel寫入成功
2026-06-16 11:51:39,118 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153760637.pdf
2026-06-16 11:51:43,859 | INFO | 搬檔成功
2026-06-16 11:51:43,859 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153760839.pdf
2026-06-16 11:51:43,964 | INFO | 搬檔成功
2026-06-16 11:51:44,155 | INFO | Excel寫入成功
2026-06-16 11:51:44,155 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\16062026103815-ApeosPort-VII C3373(567193)-7293-260616103819.pdf
2026-06-16 11:51:46,810 | INFO | 搬檔成功
2026-06-16 11:51:47,270 | INFO | Excel寫入成功
2026-06-16 11:51:47,271 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\16062026113336-ApeosPort-VII C3373(567193)-7307-260616113340.pdf
2026-06-16 11:51:50,398 | INFO | 搬檔成功
2026-06-16 11:58:54,784 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\052810.pdf
2026-06-16 12:00:45,772 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\052810.pdf
2026-06-16 12:00:48,267 | INFO | 搬檔成功
2026-06-16 12:00:48,397 | INFO | Excel寫入成功
2026-06-16 12:00:48,397 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1140010168.pdf
2026-06-16 12:00:52,596 | INFO | 搬檔成功
2026-06-16 12:00:52,890 | INFO | Excel寫入成功
2026-06-16 12:00:52,890 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1140010169.pdf
2026-06-16 12:00:55,967 | INFO | 搬檔成功
2026-06-16 12:00:56,206 | INFO | Excel寫入成功
2026-06-16 12:00:56,206 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1140010170.pdf
2026-06-16 12:01:00,223 | INFO | 搬檔成功
2026-06-16 12:01:00,453 | INFO | Excel寫入成功
2026-06-16 12:01:00,453 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150010012.pdf
2026-06-16 12:01:03,474 | INFO | 搬檔成功
2026-06-16 12:01:03,738 | INFO | Excel寫入成功
2026-06-16 12:01:03,738 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150020016.pdf
2026-06-16 12:01:06,747 | INFO | 搬檔成功
2026-06-16 12:01:06,875 | INFO | Excel寫入成功
2026-06-16 12:01:06,875 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150020017.pdf
2026-06-16 12:01:09,704 | INFO | 搬檔成功
2026-06-16 12:01:09,814 | INFO | Excel寫入成功
2026-06-16 12:01:09,814 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150020018.pdf
2026-06-16 12:01:12,920 | INFO | 搬檔成功
2026-06-16 12:01:13,084 | INFO | Excel寫入成功
2026-06-16 12:01:13,084 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150030025.pdf
2026-06-16 12:01:16,305 | INFO | 搬檔成功
2026-06-16 12:01:16,522 | INFO | Excel寫入成功
2026-06-16 12:01:16,522 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150526001.pdf
2026-06-16 12:01:19,830 | INFO | 搬檔成功
2026-06-16 12:01:19,975 | INFO | Excel寫入成功
2026-06-16 12:01:19,975 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150601001.pdf
2026-06-16 12:01:22,480 | INFO | 搬檔成功
2026-06-16 12:01:22,562 | INFO | Excel寫入成功
2026-06-16 12:01:22,562 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150601002.pdf
2026-06-16 12:01:25,787 | INFO | 搬檔成功
2026-06-16 12:01:25,914 | INFO | Excel寫入成功
2026-06-16 12:01:25,914 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150605.pdf
2026-06-16 12:01:29,111 | INFO | 搬檔成功
2026-06-16 12:01:29,111 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153659947.pdf
2026-06-16 12:01:32,257 | INFO | 搬檔成功
2026-06-16 12:01:32,344 | INFO | Excel寫入成功
2026-06-16 12:01:32,344 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660099.pdf
2026-06-16 12:01:32,522 | INFO | 搬檔成功
2026-06-16 12:01:32,737 | INFO | Excel寫入成功
2026-06-16 12:01:32,738 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660422.pdf
2026-06-16 12:01:32,839 | INFO | 搬檔成功
2026-06-16 12:01:33,088 | INFO | Excel寫入成功
2026-06-16 12:01:33,088 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660423.pdf
2026-06-16 12:01:33,195 | INFO | 搬檔成功
2026-06-16 12:01:33,424 | INFO | Excel寫入成功
2026-06-16 12:01:33,424 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660575.pdf
2026-06-16 12:01:33,507 | INFO | 搬檔成功
2026-06-16 12:01:33,601 | INFO | Excel寫入成功
2026-06-16 12:01:33,601 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660577.pdf
2026-06-16 12:01:33,712 | INFO | 搬檔成功
2026-06-16 12:01:33,839 | INFO | Excel寫入成功
2026-06-16 12:01:33,839 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660752.pdf
2026-06-16 12:01:33,922 | INFO | 搬檔成功
2026-06-16 12:01:34,141 | INFO | Excel寫入成功
2026-06-16 12:01:34,141 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660890.pdf
2026-06-16 12:01:34,230 | INFO | 搬檔成功
2026-06-16 12:01:34,323 | INFO | Excel寫入成功
2026-06-16 12:01:34,323 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153760637_1.pdf
2026-06-16 12:01:37,158 | INFO | 搬檔成功
2026-06-16 13:43:10,215 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\052810.pdf
2026-06-16 13:43:15,398 | INFO | 搬檔成功
2026-06-16 13:43:15,517 | INFO | Excel寫入成功
2026-06-16 13:43:15,517 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150010012.pdf
2026-06-16 13:43:18,488 | INFO | 搬檔成功
2026-06-16 13:43:18,592 | INFO | Excel寫入成功
2026-06-16 13:43:18,592 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150020016.pdf
2026-06-16 13:43:21,448 | INFO | 搬檔成功
2026-06-16 13:43:21,551 | INFO | Excel寫入成功
2026-06-16 13:43:21,551 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150020017.pdf
2026-06-16 13:43:24,439 | INFO | 搬檔成功
2026-06-16 13:43:24,536 | INFO | Excel寫入成功
2026-06-16 13:43:24,537 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150020018.pdf
2026-06-16 13:43:27,936 | INFO | 搬檔成功
2026-06-16 13:43:28,047 | INFO | Excel寫入成功
2026-06-16 13:43:28,047 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150030025.pdf
2026-06-16 13:43:31,247 | INFO | 搬檔成功
2026-06-16 13:43:31,330 | INFO | Excel寫入成功
2026-06-16 13:43:31,330 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150526001.pdf
2026-06-16 13:43:34,662 | INFO | 搬檔成功
2026-06-16 13:43:34,761 | INFO | Excel寫入成功
2026-06-16 13:43:34,761 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150601001.pdf
2026-06-16 13:43:37,473 | INFO | 搬檔成功
2026-06-16 13:43:37,573 | INFO | Excel寫入成功
2026-06-16 13:43:37,573 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150601002.pdf
2026-06-16 13:43:40,793 | INFO | 搬檔成功
2026-06-16 13:43:40,911 | INFO | Excel寫入成功
2026-06-16 13:43:40,911 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150605_1.pdf
2026-06-16 13:43:44,410 | INFO | 搬檔成功
2026-06-16 13:43:44,411 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153659947.pdf
2026-06-16 13:43:47,819 | INFO | 搬檔成功
2026-06-16 13:43:47,920 | INFO | Excel寫入成功
2026-06-16 13:43:47,920 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660099.pdf
2026-06-16 13:43:48,117 | INFO | 搬檔成功
2026-06-16 13:43:48,181 | INFO | Excel寫入成功
2026-06-16 13:43:48,182 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660422.pdf
2026-06-16 13:43:48,271 | INFO | 搬檔成功
2026-06-16 13:43:48,312 | INFO | Excel寫入成功
